,FLIGHT_NO,ORIGIN,DESTINATION,DEPATURE_TIME,ARRIVAL_TIME,DAY,TYPE,DURATION,TARIFF(USD)
0,G615,BOM,DXB,11:30:00,14:45:00,DAILY,DIR,03:15:00,315
1,G725,SYD,DXB,22:00:00,11:45:00,SUN/TUES/THUR,DIR,13:45:00,1957
2,G799,BOM,DXB,18:30:00,21:45:00,TUES/THURS/SAT,CON,03:15:00,315
3,G219,LHR,DXB,14:25:00,22:35:00,DAILY,DIR,08:10:00,893
4,G125,JFK,DXB,16:15:00,05:15:00,SUN/TUES/THUR,DIR,13:00:00,1788
5,G756,LHR,DXB,11:55:00,20:05:00,TUES/THUR/SAT,CON,08:10:00,893
6,G559,BOM,DXB,22:00:00,01:15:00,DAILY,DIR,03:15:00,315
7,G310,SYD,DXB,15:00:00,04:45:00,MON/WED/FRI,DIR,13:45:00,1957
8,G281,BOM,DXB,03:45:00,07:00:00,SUN/TUES/THUR,CON,03:15:00,315
9,G993,LHR,DXB,00:30:00,08:40:00,DAILY,DIR,08:00:00,893
10,G635,JFK,DXB,03:10:00,19:10:00,TUES/THUR/SAT,DIR,13:00:00,1788
11,G498,LHR,DXB,02:45:00,10:55:00,TUES/THUR/SAT,CON,08:10:00,893
