,FLIGHT_NO,ORIGIN,DESTINATION,DEPATURE_TIME,ARRIVAL_TIME,DURATION,SEAT_ID
0,G799,DXB,BOM,12:00:00,15:15:00,03:15:00,885383
1,G799,BOM,SYD,16:30:00,04:00:00,12:00:00,526992
2,G281,SYD,BOM,13:45:00,01:45:00,12:00:00,171525
3,G281,BOM,DXB,03:45:00,07:00:00,03:15:00,897109
4,G559,BOM,DXB,22:00:00,01:15:00,03:15:00,798267
5,G635,DXB,JFK,12:00:00,01:55:00,13:00:00,155394
6,G310,SYD,DXB,15:00:00,04:45:00,13:45:00,876969
7,G615,DXB,BOM,07:00:00,10:15:00,03:15:00,782751
8,G635,JFK,DXB,03:10:00,19:10:00,13:00:00,687291
9,G559,DXB,BOM,15:30:00,18:45:00,03:15:00,680448
10,G725,DXB,SYD,07:00:00,20:45:00,13:45:00,323200
11,G756,LHR,JFK,17:25:00,01:25:00,08:00:00,806986
12,G310,SYD,DXB,15:00:00,04:45:00,13:45:00,978424
13,G635,DXB,JFK,12:00:00,01:55:00,13:00:00,553357
14,G993,LHR,DXB,00:30:00,08:40:00,08:00:00,809229
15,G635,DXB,JFK,12:00:00,01:55:00,13:00:00,404591
16,G615,BOM,DXB,11:30:00,14:45:00,03:15:00,44787
17,G993,DXB,LHR,15:00:00,23:10:00,08:10:00,415701
18,G635,DXB,JFK,12:00:00,01:55:00,13:00:00,361093
19,G498,JFK,LHR,17:30:00,01:30:00,08:00:00,58480
20,G219,LHR,DXB,14:25:00,22:35:00,08:10:00,452939
21,G310,DXB,SYD,22:35:00,13:45:00,13:45:00,177334
22,G559,BOM,DXB,22:00:00,01:15:00,03:15:00,786995
23,G635,DXB,JFK,12:00:00,01:55:00,13:00:00,877679
24,G310,DXB,SYD,00:00:00,13:45:00,13:45:00,469585
25,G799,SYD,BOM,13:45:00,17:15:00,12:00:00,369472
26,G125,JFK,DXB,16:15:00,05:15:00,13:00:00,885341
27,G559,DXB,BOM,15:30:00,18:45:00,03:15:00,14010
28,G559,BOM,DXB,22:00:00,01:15:00,03:15:00,955741
29,G125,DXB,JFK,02:00:00,15:00:00,13:00:00,662773
30,G219,LHR,DXB,14:25:00,22:35:00,08:10:00,680015
31,G310,DXB,SYD,22:35:00,13:45:00,13:45:00,53834
32,G498,JFK,LHR,17:30:00,01:30:00,08:00:00,601349
33,G219,LHR,DXB,14:25:00,22:35:00,08:10:00,667044
34,G559,BOM,DXB,22:00:00,01:15:00,03:15:00,549229
35,G725,DXB,SYD,07:00:00,20:45:00,13:45:00,154432
36,G559,BOM,DXB,22:00:00,01:15:00,03:15:00,882784
37,G635,DXB,JFK,12:00:00,01:55:00,13:00:00,349096
38,G756,DXB,LHR,08:00:00,16:10:00,08:10:00,521852
39,G125,JFK,DXB,16:15:00,05:15:00,13:00:00,374589
40,G725,DXB,SYD,07:00:00,20:45:00,13:45:00,460295
41,G125,JFK,DXB,16:15:00,05:15:00,13:00:00,827729
42,G559,DXB,BOM,15:30:00,18:45:00,03:15:00,602803
43,G498,LHR,DXB,02:45:00,10:55:00,08:10:00,876567
44,G498,LHR,DXB,02:45:00,10:55:00,08:10:00,538697
45,G281,DXB,BOM,20:00:00,23:15:00,03:15:00,189311
46,G725,DXB,SYD,07:00:00,20:45:00,13:45:00,606772
47,G498,DXB,LHR,23:00:00,07:00:00,08:10:00,54968
48,G125,DXB,JFK,02:00:00,15:00:00,13:00:00,832373
49,G559,BOM,DXB,22:00:00,01:15:00,03:15:00,733999
50,G635,DXB,JFK,12:00:00,01:55:00,13:00:00,906246
51,G310,SYD,DXB,15:00:00,04:45:00,13:45:00,282730
52,G281,DXB,BOM,20:00:00,23:15:00,03:15:00,213176
53,G559,BOM,DXB,22:00:00,01:15:00,03:15:00,145904
54,G725,DXB,SYD,07:00:00,20:45:00,13:45:00,653562
55,G498,JFK,LHR,17:30:00,01:30:00,08:00:00,316515
56,G756,LHR,DXB,11:55:00,20:05:00,08:10:00,568158
57,G615,DXB,BOM,07:00:00,10:15:00,03:15:00,854738
58,G799,BOM,SYD,16:30:00,04:00:00,12:00:00,838647
59,G559,BOM,DXB,22:00:00,01:15:00,03:15:00,92644
60,G725,DXB,SYD,07:00:00,20:45:00,13:45:00,970604
61,G993,LHR,DXB,00:30:00,08:40:00,08:00:00,377163
62,G993,LHR,DXB,00:30:00,08:40:00,08:00:00,776122
63,G281,DXB,BOM,20:00:00,23:15:00,03:15:00,725387
64,G725,DXB,SYD,07:00:00,20:45:00,13:45:00,775434
65,G281,SYD,BOM,20:45:00,01:45:00,12:00:00,936151
66,G559,BOM,DXB,22:00:00,01:15:00,03:15:00,711030
67,G635,DXB,JFK,12:00:00,01:55:00,13:00:00,944078
68,G615,DXB,BOM,07:00:00,10:15:00,03:15:00,579232
69,G799,BOM,SYD,16:30:00,04:00:00,12:00:00,715179
70,G559,BOM,DXB,22:00:00,01:15:00,03:15:00,178623
71,G993,DXB,LHR,15:00:00,23:10:00,08:10:00,979632
72,G993,LHR,DXB,00:30:00,08:40:00,08:00:00,64068
73,G281,DXB,BOM,20:00:00,23:15:00,03:15:00,887882
74,G615,DXB,BOM,07:00:00,10:15:00,03:15:00,835343
75,G799,BOM,SYD,16:30:00,04:00:00,12:00:00,898420
76,G725,SYD,DXB,22:00:00,11:45:00,13:45:00,464354
77,G993,DXB,LHR,15:00:00,23:10:00,08:10:00,17530
78,G725,DXB,SYD,07:00:00,20:45:00,13:45:00,384807
79,G799,SYD,BOM,20:45:00,17:15:00,12:00:00,67590
80,G310,DXB,SYD,10:55:00,13:45:00,13:45:00,219036
